admin	administartor
dsgr	designer
engr	engineer
cnslr	consultant/counselor
ofc	officer
sci	scientist
asst	assistant
spl	special
prac	practitioner
anlst	analyst
occup	occupational
pedi	pediatric
drctr	director
pvt	private
eqpt	equipment
op	operator
coord	coordinator
tech	technical/technician
pedi	pediatric
resp	respiratory
phys	physical
mngr	manager
emerg	emergency
cond	conductor
reg	registered
enviro	enviromental
fam	family
sprvsr	supervisor
edu	educational
clncl	clinical
bldg	building
dev	developer
nat	national
rngr	ranger
prgrmmr	programmer
cnslr	counselor
attndnt	attendant
csltnt	consultant
elctrcn	electrician
app	application
sub	substitute
